202069	202089	202072
202106	202038	202003
202038	202002	202106
202008	202085	202033
202101	202047	202042
202007	202048	202013
202006	202048	202013
202033	202013	202007
202067	202058	202068
202040	202025	202057
202008	202033	202007
202052	202034	202081
202059	202065	202045
202053	202025	202057
202030	202061	202062
202080	202058	202064
202066	202092	202095
202024	202029	202004
202028	202060	202080
202062	202063	202041
202097	202107	202095
202029	202020	202004
202053	202040	202016
202076	202060	202074
202094	202044	202056
202038	202060	202021
202075	202024	202007
202017	202091	202041
202034	202080	202064
202008	202013	202108
202052	202014	202031
202057	202016	202053
202047	202098	202101
202028	202050	202002
202084	202048	202061
202053	202025	202012
202017	202022	202061
202005	202101	202037
202059	202099	202045
202073	202094	202050
202065	202059	202099
202067	202056	202102
202101	202037	202005
202006	202007	202039
202066	202087	202092
202073	202028	202038
202077	202025	202063
202034	202014	202081
202025	202016	202040
202065	202101	202047
202102	202088	202046
202036	202016	202012
202064	202074	202096
202065	202045	202099
202028	202076	202026
202017	202041	202089
202077	202108	202017
202062	202022	202051
202076	202080	202058
202045	202059	202054
202019	202092	202087
202064	202011	202046
202011	202031	202067
202072	202001	202093
202089	202061	202001
202025	202062	202093
202069	202077	202051
202050	202044	202028
202076	202026	202058
202029	202008	202006
202064	202026	202074
202062	202051	202063
202056	202046	202096
202039	202070	202089
202086	202064	202076
202014	202034	202052
202057	202012	202036
202039	202048	202006
202004	202020	202033
202080	202052	202031
202066	202019	202049
202102	202056	202096
202070	202017	202077
202058	202096	202011
202030	202006	202017
202095	202019	202066
202071	202069	202077
202027	202044	202073
202092	202019	202087
202058	202090	202074
202023	202107	202019
202037	202047	202101
202059	202045	202043
202084	202029	202075
202047	202005	202037
202088	202056	202076
202108	202033	202091
202014	202081	202003
202002	202050	202003
202019	202066	202087
202062	202063	202016
202053	202040	202012
